Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,ATI,Mobility Radeon HD 2400,553,0.57,307,https://gpu.userbenchmark.com/SpeedTest/8548/ATI-Mobility-Radeon-HD-2400
GPU,,ATI,Mobility Radeon HD 4250,554,0.57,6244,https://gpu.userbenchmark.com/SpeedTest/8680/ATI-Mobility-Radeon-HD-4250
GPU,,Nvidia,GeForce 7800 GT,555,0.56,134,https://gpu.userbenchmark.com/SpeedTest/8420/NVIDIA-GeForce-7800-GT
GPU,,ATI,Radeon HD 3200,556,0.56,3582,https://gpu.userbenchmark.com/SpeedTest/8532/ATI-Radeon-HD-3200-Graphics
GPU,,Nvidia,GeForce 8200,557,0.53,596,https://gpu.userbenchmark.com/SpeedTest/11915/NVIDIA-GeForce-8200
GPU,,ATI,Radeon 3000 Graphics,558,0.53,9589,https://gpu.userbenchmark.com/SpeedTest/7853/ATI-Radeon-3000-Graphics
GPU,,Nvidia,GeForce Go 7900,559,0.49,72,https://gpu.userbenchmark.com/SpeedTest/9175/NVIDIA-GeForce-Go-7900-GS
GPU,,Nvidia,GeForce 8400M G,560,0.49,164,https://gpu.userbenchmark.com/SpeedTest/9009/NVIDIA-GeForce-8400M-G
GPU,,Nvidia,GeForce 7600 GT,561,0.48,760,https://gpu.userbenchmark.com/SpeedTest/8028/NVIDIA-GeForce-7600-GT
GPU,,Nvidia,Quadro NVS 135M,562,0.46,330,https://gpu.userbenchmark.com/SpeedTest/7758/NVIDIA-Quadro-NVS-135M
GPU,,Intel,Mobile Series 4 Express Chipset Family,563,0.46,25801,https://gpu.userbenchmark.com/SpeedTest/7651/Mobile-IntelR-4-Series-Express-Chipset-Family
GPU,,Nvidia,GeForce 7800 GS,564,0.45,28,https://gpu.userbenchmark.com/SpeedTest/11875/NVIDIA-GeForce-7800-GS
GPU,,ATI,Radeon 3100 Graphics,565,0.45,573,https://gpu.userbenchmark.com/SpeedTest/9910/ATI-Radeon-3100-Graphics
GPU,,Nvidia,GeForce 8200M G,566,0.42,731,https://gpu.userbenchmark.com/SpeedTest/7912/NVIDIA-GeForce-8200M-G
GPU,,Nvidia,Quadro FX 1500,567,0.37,288,https://gpu.userbenchmark.com/SpeedTest/11831/NVIDIA-Quadro-FX-1500
GPU,,AMD,Radeon X1650,568,0.36,433,https://gpu.userbenchmark.com/SpeedTest/10866/Radeon-X1650
GPU,,Nvidia,GeForce 6800,569,0.36,161,https://gpu.userbenchmark.com/SpeedTest/9825/NVIDIA-GeForce-6800
GPU,,Nvidia,GeForce 7600 GS,570,0.34,741,https://gpu.userbenchmark.com/SpeedTest/11979/NVIDIA-GeForce-7600-GS
GPU,,AMD,Radeon X1600,571,0.3,643,https://gpu.userbenchmark.com/SpeedTest/9407/Radeon-X1600-Series
GPU,,ATI,Mobility Radeon X1600,572,0.25,248,https://gpu.userbenchmark.com/SpeedTest/8748/ATI-Mobility-Radeon-X1600
GPU,,ATI,MOBILITY FireGL V5250,573,0.24,24,https://gpu.userbenchmark.com/SpeedTest/8385/ATI-MOBILITY-FireGL-V5250
GPU,,Nvidia,GeForce 6800 GS,574,0.24,91,https://gpu.userbenchmark.com/SpeedTest/10950/NVIDIA-GeForce-6800-GS
GPU,,Nvidia,Quadro FX 3450/4000 SDI,575,0.23,295,https://gpu.userbenchmark.com/SpeedTest/13072/NVIDIA-Quadro-FX-34504000-SDI
GPU,,Nvidia,GeForce Go 7600,576,0.22,229,https://gpu.userbenchmark.com/SpeedTest/7872/NVIDIA-GeForce-Go-7600
GPU,,Nvidia,GeForce 7300 GT,577,0.22,837,https://gpu.userbenchmark.com/SpeedTest/8156/NVIDIA-GeForce-7300-GT
GPU,,Nvidia,GeForce 6600 GT,578,0.2,334,https://gpu.userbenchmark.com/SpeedTest/8656/NVIDIA-GeForce-6600-GT
GPU,,AMD,Radeon X1300,579,0.16,1005,https://gpu.userbenchmark.com/SpeedTest/9011/Radeon-X1300X1550-Series
GPU,,AMD,Radeon X1550,580,0.16,375,https://gpu.userbenchmark.com/SpeedTest/11538/Radeon-X1550-64-bit
GPU,,Nvidia,GeForce 6600,581,0.16,609,https://gpu.userbenchmark.com/SpeedTest/8606/NVIDIA-GeForce-6600
GPU,,ATI,Mobility Radeon X2300,582,0.14,229,https://gpu.userbenchmark.com/SpeedTest/8306/ATI-Mobility-Radeon-X2300
GPU,,Nvidia,GeForce 7300 GS,583,0.13,555,https://gpu.userbenchmark.com/SpeedTest/7782/NVIDIA-GeForce-7300-GS
GPU,,ATI,Mobility Radeon X1400,584,0.12,271,https://gpu.userbenchmark.com/SpeedTest/7829/ATI-Mobility-Radeon-X1400
GPU,,ATI,Mobility Radeon X1300,585,0.12,225,https://gpu.userbenchmark.com/SpeedTest/11505/ATI-Mobility-Radeon-X1300
GPU,,Nvidia,GeForce Go 7400,586,0.12,238,https://gpu.userbenchmark.com/SpeedTest/8618/NVIDIA-GeForce-Go-7400
GPU,,Nvidia,GeForce 7300 LE,587,0.11,825,https://gpu.userbenchmark.com/SpeedTest/7971/NVIDIA-GeForce-7300-LE
GPU,,Nvidia,Quadro NVS 440,588,0.1,73,https://gpu.userbenchmark.com/SpeedTest/10103/NVIDIA-Quadro-NVS-440
GPU,,Nvidia,GeForce Go 7300,589,0.09,355,https://gpu.userbenchmark.com/SpeedTest/7778/NVIDIA-GeForce-Go-7300
GPU,,Nvidia,GeForce 7100 GS,590,0.07,393,https://gpu.userbenchmark.com/SpeedTest/11594/NVIDIA-GeForce-7100-GS
GPU,,Nvidia,GeForce 7300 SE,591,0.07,1209,https://gpu.userbenchmark.com/SpeedTest/8767/NVIDIA-GeForce-7300-SE7200-GS
GPU,,Nvidia,GeForce 6200,592,0.06,1002,https://gpu.userbenchmark.com/SpeedTest/9463/NVIDIA-GeForce-6200
GPU,,Nvidia,GeForce 7100 / nForce 630i,593,0.06,717,https://gpu.userbenchmark.com/SpeedTest/8642/NVIDIA-GeForce-7100--NVIDIA-nForce-630i
GPU,,Nvidia,GeForce 6150,594,0.06,709,https://gpu.userbenchmark.com/SpeedTest/10968/NVIDIA-GeForce-6150
GPU,,Nvidia,GeForce 6100,595,0.05,540,https://gpu.userbenchmark.com/SpeedTest/9213/NVIDIA-GeForce-6100
GPU,,Nvidia,GeForce 7150M / nForce 630M,596,0.05,216,https://gpu.userbenchmark.com/SpeedTest/10312/NVIDIA-GeForce-7150M--nForce-630M
GPU,,Nvidia,GeForce 7025 / nForce 630a,597,0.05,3628,https://gpu.userbenchmark.com/SpeedTest/9258/NVIDIA-GeForce-7025--NVIDIA-nForce-630a
GPU,,Nvidia,GeForce 6150SE nForce 430,598,0.05,4403,https://gpu.userbenchmark.com/SpeedTest/7763/NVIDIA-GeForce-6150SE-nForce-430
