,brand,core,clock(MHz),cuda_sp,video_interface,power_interface,legth(cm),warranty(years),price
132,ZOTAC ,RTX 2070,1620,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,26.8,4,16990
133,ZOTAC ,RTX 2070,1620,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,21.1,4,17990
134,ZOTAC ,RTX 2070,1650,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,21.1,4,18990
135,ZOTAC ,RTX 2070,1740,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,19490
136,ZOTAC ,RTX 2070,1815,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.8,4,19990
137,ZOTAC ,RTX 2070,1860,2304,1*HDMI /3*DP/1*USB Type-C,1*6pin + 1*8pin,30.8,4,20990
138,華碩,RTX 2080,1710,2944,1*HDMI / 2*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,4,27490
139,華碩,RTX 2080,1800,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,27490
140,華碩,RTX 2080,1710,2944,2*HDMI / 2*DP/1*USB Type-C,2*8pin,30,5,27990
141,華碩,RTX 2080,1740,2944,2*HDMI / 2*DP/1*USB Type-C,2*8pin,30,5,28390
142,華碩,RTX 2080,1860,2944,2*HDMI / 2*DP/1*USB Type-C,2*8pin,30,5,28990
143,微星 ,RTX 2080,1710,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,22890
144,微星 ,RTX 2080,1860,2944,1*HDMI / 3*DP/1*USB Type-C,2*8pin,32.7,4,27790
145,微星 ,RTX 2080,1860,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,29390
146,微星 ,RTX 2080,1860,2944,1*HDMI / 3*DP/1*USB Type-C,2*8pin,30.5,4,30900
147,技嘉 ,RTX 2080,1710,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,27.2,4,23990
148,技嘉 ,RTX 2080,1710,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,28,4,25990
149,技嘉 ,RTX 2080,1785,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,28,4,26490
150,技嘉 ,RTX 2080,1815,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,28.7,5,26990
151,技嘉 ,RTX 2080,1845,2944,3*HDMI / 3*DP/1*USB Type-C,2*8pin,29,5,27890
152,技嘉 ,RTX 2080,1890,2944,3*HDMI / 3*DP/1*USB Type-C,2*8pin,29,5,29390
153,技嘉 ,RTX 2080,1890,2944,3*HDMI / 3*DP/1*USB Type-C,2*8pin,29,5,31990
154,EVGA ,RTX 2080,1710,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,23890
155,EVGA ,RTX 2080,1800,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,27990
156,EVGA ,RTX 2080,1815,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.9,5,28990
157,EVGA ,RTX 2080,1860,2944,1*HDMI / 3*DP/1*USB Type-C,2*8pin,30.2,5,29990
158,影馳 ,RTX 2080,1800,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,28.3,3,27390
159,INNO3D ,RTX 2080,1755,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,3,25990
160,INNO3D ,RTX 2080,1830,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,27.2,3,27990
161,ZOTAC ,RTX 2080,1710,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,23990
162,ZOTAC ,RTX 2080,1770,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,26.8,4,27390
163,ZOTAC ,RTX 2080,1830,2944,1*HDMI / 3*DP/1*USB Type-C,1*6pin + 1*8pin,30.8,4,27500
164,ZOTAC ,RTX 2080,1905,2944,1*HDMI / 3*DP/1*USB Type-C,2*8pin,32.4,4,29990
165,華碩,RTX 2080 Ti,1545,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,26.8,4,37690
166,華碩,RTX 2080 Ti,1560,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,26.8,4,37990
167,華碩,RTX 2080 Ti,1635,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,26.8,4,38990
168,華碩,RTX 2080 Ti,1545,4352,2*HDMI / 2*DP/1*USB Type-C,2*8pin,30.5,5,40490
169,華碩,RTX 2080 Ti,1575,4352,2*HDMI / 2*DP/1*USB Type-C,2*8pin,30.5,5,40790
170,技嘉 ,RTX 2080 Ti,1545,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,28.3,4,36990
171,技嘉 ,RTX 2080 Ti,1620,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,28.3,4,38990
172,技嘉 ,RTX 2080 Ti,1650,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,28.7,4,39990
173,技嘉 ,RTX 2080 Ti,1770,4352,3*HDMI / 3*DP/1*USB Type-C,2*8pin,29.1,5,44990
174,EVGA ,RTX 2080 Ti,1545,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,26.9,5,35990
175,EVGA ,RTX 2080 Ti,1635,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,26.9,5,39890
176,EVGA ,RTX 2080 Ti,1755,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,30.2,5,44990
177,影馳 ,RTX 2080 Ti,1620,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,28.3,3,38990
178,ZOTAC ,RTX 2080 Ti,1605,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,30.8,4,38890
179,ZOTAC ,RTX 2080 Ti,1665,4352,1*HDMI / 3*DP/1*USB Type-C,2*8pin,30.8,4,39890
180,華碩,RX 550,1071,640,1*DVI-D / 1*HDMI / 1*DP,NO,19.2,4,2890
181,華碩,RX 550,1183,640,1*DVI-D / 1*HDMI / 1*DP,NO,19.2,4,3990
182,微星 ,RX 550,1203,512,1*DVI-D / 1*HDMI,NO,15.5,3,3190
183,技嘉 ,RX 550,1195,512,1*DVI-D / 1*HDMI / 1*DP,NO,17,3,3250
184,撼訊 ,RX 550,1190,512,1*DVI-D / 1*HDMI / 1*DP,NO,22.5,3,2990
185,微星 ,RX 560,1196,1024,1*DVI-D / 1*HDMI / 1*DP,NO,15.5,4,4790
186,技嘉 ,RX 560,1224,1024,1*DVI-D / 1*HDMI / 1*DP,NO,19,4,4650
187,撼訊 ,RX 560,1176,896,1*DVI-D / 1*HDMI / 1*DP,NO,22.5,3,3790
188,撼訊 ,RX 560,1176,896,1*DVI-D / 1*HDMI / 1*DP,NO,22.5,3,4570
189,華碩,RX 570,1300,2048,2*DVI-D / 1*HDMI / 1*DP,1*8pin,24,5,4390
190,華碩,RX 570,1256,2048,1*DVI-D / 1*HDMI / 1*DP,1*8pin,24,4,4990
191,微星 ,RX 570,1268,2048,1*DVI-D / 1*HDMI / 3*DP,1*8pin,24.6,4,5790
192,微星 ,RX 570,1268,2048,1*DVI-D / 2*HDMI / 2*DP,1*8pin,27,4,5790
193,技嘉 ,RX 570,1244,2048,1*DVI-D,1*8pin,23.2,3,4990
194,撼訊 ,RX 570,1250,2048,1*DVI-D / 1*HDMI / 3*DP,1*8pin,25.5,3,3790
195,撼訊 ,RX 570,1322,2048,1*DVI-D / 1*HDMI / 3*DP,1*8pin,31,3,3990
196,華碩,RX 580,1360MHz(OC 1380,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,24.2,4,4990
197,華碩,RX 580,1360MHz(OC 1380,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,24.2,4,6790
198,華碩,RX 580,1360MHz(OC 1380,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,24.2,4,6990
199,華碩,RX 580,1360MHz(OC 1380,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,29.8,5,8990
200,華碩,RX 580 XTR,1411MHz(OC 1431,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,29.8,5,9990
201,微星 ,RX 580,1366,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,26.9,4,6990
202,技嘉 ,RX 580,1340,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,23.2,4,5390
203,技嘉 ,RX 580,1365,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,23.2,5,6390
204,撼訊 ,RX 580,1350,2304,1*DVI-D / 1*HDMI / 3*DP,1*8pin,25.5,3,5990
205,華碩,RX 590,1545,2304,1*DVI-D / 2*HDMI / 2*DP,1*8pin,29.8,5,9890
206,撼訊 ,RX 590,1576,2304,1*DVI-D / 1*HDMI / 3*DP,1*6pin + 1*8pin,25.5,3,8990
